Info 0    [15:40:1.195] Starting TS Server
Info 36   [15:40:3.103] Elapsed:: 1ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 37   [15:40:3.103] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json.3993660820 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 38   [15:40:3.103] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json.3993660820 :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 39   [15:40:3.104] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 40   [15:40:3.105] Elapsed:: 1ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/types-registry/package.json :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 41   [15:40:3.105] DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 42   [15:40:3.108] Elapsed:: 2ms DirectoryWatcher:: Triggered with C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules/.staging :: WatchInfo: C:/Users/Owner/AppData/Local/Microsoft/TypeScript/3.8/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 43   [15:40:3.148] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [15:40:3.335] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 187ms
Info 45   [15:40:3.335] Different program with same set of files:: oldProgram.structureIsReused:: 1
